Name,Pos,Team,GP,G,A,PTS,Pts/G,PPG,PPA,GWG
Sami Douglas-Najem,D,Niagara IceDogs,3,0,0,0,0,0,0,0
Ryan O'Dell,D,Oshawa Generals,3,0,0,0,0,0,0,0
Cole Patey,RW,Peterborough Petes,3,0,0,0,0,0,0,0
Joseph Costanzo,G,Niagara IceDogs,4,0,0,0,0,0,0,0
Dylan Grover,G,Sarnia Sting,4,0,0,0,0,0,0,0
Noah VandenBrink,RW,Hamilton Bulldogs,4,0,0,0,0,0,0,0
Quinn Binnie,RW,Mississauga Steelheads,5,0,0,0,0,0,0,0
Austin Harper,RW,Sarnia Sting,5,0,0,0,0,0,0,0
Charlie Schenkel,G,Soo Greyhounds,5,0,0,0,0,0,0,0
Max Donoso,G,Ottawa 67's,6,0,0,0,0,0,0,0
Owen Flores,G,London Knights,6,0,0,0,0,0,0,0
Jakob MacRae,D,Guelph Storm,6,0,0,0,0,0,0,0
Mathias Onuska (total),G,Windsor Spitfires,6,0,0,0,0,0,0,0
Dylan Edwards,C,Erie Otters,7,0,0,0,0,0,0,0
Collin MacKenzie,G,Ottawa 67's,7,0,0,0,0,0,0,0
Aidan Spooner,G,Kingston Frontenacs,7,0,0,0,0,0,0,0
Rodion Tatarenko,LW,North Bay Battalion,7,0,0,0,0,0,0,0
Adam Barkley,D,Mississauga Steelheads,8,0,0,0,0,0,0,0
Ian Michelone,G,Flint Firebirds,8,0,0,0,0,0,0,0
Matteo Drobac,G,Hamilton Bulldogs,9,0,0,0,0,0,0,0
Stefan Forgione,LW,Mississauga Steelheads,9,0,0,0,0,0,0,0
Jonathan Lemaire,G,Sudbury Wolves,10,0,0,0,0,0,0,0
Marshall Nicholls,G,Erie Otters,10,0,0,0,0,0,0,0
Kyle Downey,G,Windsor Spitfires,11,0,0,0,0,0,0,0
Stevie Leskovar,D,Peterborough Petes,11,0,0,0,0,0,0,0
Christian Stevens,LW,North Bay Battalion,11,0,0,0,0,0,0,0
Corbin Votary,G,Owen Sound Attack,11,0,0,0,0,0,0,0
Zachary Paputsakis,G,Oshawa Generals,12,0,0,0,0,0,0,0
Jackson Parsons,G,Kitchener Rangers,12,0,0,0,0,0,0,0
Matteo Lalama,G,Barrie Colts,13,0,0,0,0,0,0,0
Anson Thornton,G,Sarnia Sting,13,0,0,0,0,0,0,0
